UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
3312,L50491,L,301.3,310.4,0.3158669996756654,44.7,92.0,False,False,False,False,False,False
5445,L52624,L,303.0,312.7,0.31586699969521237,19.9,102.0,False,False,False,False,False,False
6179,L53358,L,301.1,310.9,0.31586699966034537,67.9,10.0,True,False,False,True,False,False
9258,M24117,M,298.3,309.1,0.31586699966188636,58.7,201.0,False,False,False,False,False,False
5455,L52634,L,303.0,312.5,0.31586699967579646,40.2,127.0,False,False,False,False,False,False
8324,H37737,H,298.7,309.5,0.3158669996752677,40.4,108.0,False,False,False,False,False,False
539,M15398,M,297.4,310.0115802171291,0.31586699967815074,36.8,88.0,False,False,False,False,False,False
6356,L53535,L,300.1,309.7,0.3158669996770669,37.9,34.0,False,False,False,False,False,False
7175,L54354,L,300.2,310.2,0.3158669996798953,48.5,15.0,False,False,False,False,False,False
220,M15079,M,298.3,308.5,0.3158669996739622,46.2,148.0,False,False,False,False,False,False
1455,L48634,L,299.1,310.4,0.31586699967353477,46.9,87.0,False,False,False,False,False,False
2661,L49840,L,299.8,310.0115802171291,0.315866999661344,56.4,188.0,False,False,False,False,False,False
7649,L54828,L,300.4,311.4,0.31586699968104687,28.8,135.0,False,False,False,False,False,False
5111,M19970,M,304.0,313.5,0.31586699968835763,26.2,126.0,False,False,False,False,False,False
4118,L51297,L,301.9,310.5,0.31586699966630505,55.7,204.0,True,False,False,False,True,False
2662,M17521,M,299.9,309.4,0.31586699967872983,42.8,190.0,False,False,False,False,False,False
5214,M20073,M,303.7,312.6,0.31586699967360654,43.3,189.0,False,False,False,False,False,False
487,M15346,M,297.4,309.1,0.31586699968251175,35.9,180.0,False,False,False,False,False,False
2709,L49888,L,299.6,309.1,0.31586699969844517,15.3,79.0,False,False,False,False,False,False
4919,L52098,L,303.3,312.2,0.3158669996755336,40.7,48.0,False,False,False,False,False,False
271,H29684,H,298.0,308.0,0.31586699967934867,39.6,51.0,False,False,False,False,False,False
4858,L52037,L,303.7,312.3,0.31586699968360304,37.4,103.0,False,False,False,False,False,False
531,M15390,M,297.6,309.5,0.31586699968759663,32.2,65.0,False,False,False,False,False,False
5479,L52658,L,302.7,312.2,0.315866999683822,34.1,186.0,False,False,False,False,False,False
7142,M22001,M,300.4,309.8,0.3158669996677669,44.4,136.0,False,False,False,False,False,False
3591,L50770,L,301.8,310.6,0.3158669996716708,46.8,151.0,False,False,False,False,False,False
8131,H37544,H,300.0,311.2,0.3158669996708858,43.1,45.0,False,False,False,False,False,False
9495,L56674,L,300.0085898275486,309.9,0.3158669996791258,41.4,219.0,False,False,False,False,False,False
756,H30169,H,296.8,308.1,0.31586699967773574,43.7,222.0,False,False,False,False,False,False
6670,L53849,L,301.4,310.5,0.3158669996819881,33.9,208.0,False,False,False,False,False,False
2322,M17181,M,299.2,308.8,0.3158669996637686,52.5,108.0,False,False,False,False,False,False
4856,L52035,L,303.7,312.3,0.31586699966941206,46.2,98.0,False,False,False,False,False,False
8285,L55464,L,298.8,310.6,0.31586699968547566,33.3,0.0,False,False,False,False,False,False
315,M15174,M,297.9,308.5,0.3158669996623141,53.0,172.0,False,False,False,False,False,False
7032,L54211,L,300.7,310.8,0.31586699967694304,49.1,108.0,False,False,False,False,False,False
5919,L53098,L,300.0085898275486,310.1,0.31586699968047965,42.0,108.0,False,False,False,False,False,False
6626,M21485,M,301.6,310.7,0.31586699967302656,44.4,108.0,False,False,False,False,False,False
7251,M22110,M,300.1,310.2,0.31586699967360654,42.0,206.0,False,False,False,False,False,False
5347,L52526,L,303.4,312.7,0.3158669996801098,35.5,98.0,False,False,False,False,False,False
2551,L49730,L,299.4,309.3,0.3158669996686446,48.4,116.0,False,False,False,False,False,False
1515,M16374,M,298.1,308.8,0.3158669996845455,37.6,12.0,False,False,False,False,False,False
728,H30141,H,297.3,310.0115802171291,0.31586699967815074,37.6,147.0,False,False,False,False,False,False
7750,L54929,L,300.4,311.6,0.31586699968635346,33.0,172.0,False,False,False,False,False,False
9507,H38920,H,299.3,310.4,0.31586699968084253,41.6,25.0,False,False,False,False,False,False
7477,L54656,L,300.2,311.5,0.31586699967773574,41.8,128.0,False,False,False,False,False,False
4339,L51518,L,301.6,309.9,0.3158669996712026,43.7,102.0,False,False,False,False,False,False
833,L48012,L,296.6,307.4,0.31586699967940396,38.6,173.0,False,False,False,False,False,False
5697,H35110,H,302.5,311.9,0.3158669996831114,34.6,112.0,False,False,False,False,False,False
3783,L50962,L,302.2,310.8,0.3158669996910956,23.8,9.0,False,False,False,False,False,False
6305,L53484,L,301.1,310.5,0.3158669996800028,37.5,119.0,False,False,False,False,False,False
9675,L56854,L,300.0085898275486,310.2,0.3158669996871122,29.6,8.0,False,False,False,False,False,False
5938,M20797,M,300.6,310.5,0.3158669996758617,41.3,68.0,False,False,False,False,False,False
5352,M20211,M,303.5,312.9,0.3158669996798953,34.5,110.0,False,False,False,False,False,False
1138,L48317,L,300.0085898275486,307.8,0.31586699968555404,29.7,137.0,False,False,False,False,False,False
4335,L51514,L,301.6,309.8,0.3158669996765041,42.5,91.0,False,False,False,False,False,False
1842,L49021,L,297.7,310.0115802171291,0.3158669996861293,37.8,5.0,False,False,False,False,False,False
6523,L53702,L,301.1,310.1,0.3158669996775553,45.8,42.0,False,False,False,False,False,False
4327,L51506,L,301.6,310.1,0.31586699966829673,55.8,70.0,True,False,True,False,False,False
7670,L54849,L,300.7,311.8,0.3158669996659281,58.4,189.0,True,False,False,False,True,False
7587,L54766,L,300.4,311.1,0.31586699968283716,35.5,191.0,False,False,False,False,False,False
8670,M23529,M,297.5,308.8,0.31586699967644066,52.3,152.0,False,False,False,False,False,False
5309,L52488,L,304.0,313.2,0.3158669996770669,42.6,213.0,False,False,False,False,False,False
1721,L48900,L,298.2,307.7,0.3158669996756654,44.5,89.0,False,False,False,False,False,False
2685,L49864,L,299.8,309.4,0.31586699967573106,37.4,25.0,False,False,False,False,False,False
4279,L51458,L,302.0,310.1,0.3158669996721308,50.4,172.0,False,False,False,False,False,False
5427,L52606,L,302.6,312.3,0.31586699968114823,42.0,58.0,False,False,False,False,False,False
4714,L51893,L,303.5,311.8,0.31586699967513365,45.2,173.0,False,False,False,False,False,False
9885,L57064,L,300.0085898275486,309.5,0.3158669996863163,30.8,141.0,False,False,False,False,False,False
1303,L48482,L,298.6,309.8,0.3158669996785001,45.7,144.0,False,False,False,False,False,True
4377,M19236,M,301.9,309.6,0.31586699968099596,34.6,211.0,False,False,False,False,False,False
6863,M21722,M,301.1,310.0115802171291,0.3158669996701589,49.4,48.0,False,False,False,False,False,False
8384,M23243,M,298.8,309.9,0.31586699967791454,35.2,60.0,False,False,False,False,False,False
6212,L53391,L,300.8,310.6,0.3158669996681212,48.8,91.0,False,False,False,False,False,False
3319,L50498,L,301.4,310.4,0.31586699967410303,49.7,108.0,False,False,False,False,False,False
4427,L51606,L,302.6,310.3,0.31586699967694304,40.4,105.0,False,False,False,False,False,False
7145,M22004,M,300.4,309.8,0.31586699967918175,40.3,149.0,False,False,False,False,False,False
2459,L49638,L,299.0,308.6,0.3158669996739622,45.9,108.0,False,False,False,False,False,False
9516,L56695,L,299.0,310.2,0.3158669996866471,28.8,49.0,False,False,False,False,False,False
2208,L49387,L,299.8,309.2,0.31586699968292903,37.5,108.0,False,False,False,False,False,False
9414,L56593,L,298.1,308.6,0.31586699967431275,44.9,205.0,False,False,False,False,False,False
2603,L49782,L,299.4,309.2,0.3158669996734628,41.5,29.0,False,False,False,False,False,False
2788,M17647,M,300.3,309.6,0.3158669996795691,38.4,54.0,False,False,False,False,False,False
3739,M18598,M,302.3,311.2,0.3158669996753345,43.8,112.0,False,False,False,False,False,False
9590,L56769,L,299.2,310.4,0.3158669996765041,43.3,32.0,False,False,False,False,False,False
380,L47559,L,297.3,310.0115802171291,0.31586699968904713,26.8,125.0,False,False,False,False,False,False
1315,M16174,M,299.0,310.3,0.3158669996848344,34.5,168.0,False,False,False,False,False,False
1128,M15987,M,296.7,307.8,0.31586699968627907,32.4,113.0,False,False,False,False,False,False
2016,L49195,L,298.5,308.2,0.3158669996624201,66.3,42.0,True,False,False,True,False,False
5611,L52790,L,303.1,312.4,0.31586699967197834,41.2,107.0,False,False,False,False,False,False
982,L48161,L,296.2,306.8,0.31586699968563203,31.1,136.0,False,False,False,False,False,False
8920,L56099,L,297.2,310.0115802171291,0.31586699968704157,28.0,188.0,False,False,False,False,False,False
9009,M23868,M,297.4,308.0,0.31586699967438225,42.4,190.0,False,False,False,False,False,False
5864,M20723,M,301.4,311.1,0.3158669996891687,25.4,88.0,False,False,False,False,False,False
4070,M18929,M,301.9,310.7,0.315866999671825,47.9,80.0,False,False,False,False,False,False
5161,L52340,L,304.1,313.2,0.3158669996739622,50.1,43.0,False,False,False,False,False,False
9462,M24321,M,298.4,309.2,0.31586699967250786,46.4,128.0,False,False,False,False,False,False
3995,L51174,L,300.0085898275486,311.4,0.3158669996739622,40.3,133.0,False,False,False,False,False,False
5426,L52605,L,302.5,312.2,0.3158669996896726,27.9,56.0,False,False,False,False,False,False
4428,M19287,M,302.4,310.0115802171291,0.3158669996697465,48.9,107.0,True,False,True,False,False,False
6032,L53211,L,300.6,310.7,0.31586699967540105,40.6,82.0,False,False,False,False,False,False
9664,L56843,L,299.1,310.1,0.3158669996740327,48.8,229.0,True,False,False,False,True,False
2740,L49919,L,299.8,310.0115802171291,0.31586699968203635,35.4,158.0,False,False,False,False,False,False
7158,L54337,L,300.2,310.0115802171291,0.3158669996773735,40.1,182.0,False,False,False,False,False,False
7917,L55096,L,300.8,310.0115802171291,0.3158669996789005,37.1,169.0,False,False,False,False,False,False
7776,L54955,L,300.3,311.5,0.31586699968593995,33.6,38.0,False,False,False,False,False,False
3079,M17938,M,300.1,309.4,0.3158669996671362,56.2,127.0,False,False,False,False,False,False
3348,L50527,L,301.3,310.6,0.3158669996798413,41.8,176.0,False,False,False,False,False,False
8800,L55979,L,297.3,308.4,0.3158669996765041,41.3,67.0,False,False,False,False,False,False
3614,L50793,L,301.7,310.0115802171291,0.3158669996812992,39.4,2.0,False,False,False,False,False,False
5701,L52880,L,300.0085898275486,311.9,0.315866999678033,41.6,123.0,False,False,False,False,False,False
8388,L55567,L,298.8,309.9,0.3158669996673178,47.2,73.0,False,False,False,False,False,False
2102,L49281,L,299.3,309.3,0.31586699967978715,37.8,45.0,False,False,False,False,False,False
6471,L53650,L,300.4,309.6,0.3158669996697465,54.5,108.0,False,False,False,False,False,False
8348,L55527,L,298.7,309.6,0.31586699968601595,31.1,178.0,False,False,False,False,False,False
149,M15008,M,298.3,308.3,0.3158669996697465,48.0,181.0,False,False,False,False,False,False
1996,L49175,L,298.3,308.0,0.31586699967513365,47.1,196.0,False,False,False,False,False,False
8835,L56014,L,297.4,308.8,0.31586699967656734,46.2,167.0,False,False,False,False,False,False
7164,M22023,M,300.1,310.1,0.31586699967826787,39.3,195.0,False,False,False,False,False,False
4906,L52085,L,300.0085898275486,312.4,0.3158669996683841,53.1,7.0,False,False,False,False,False,False
5574,L52753,L,302.5,312.2,0.31586699968854925,25.3,14.0,False,False,False,False,False,False
1130,L48309,L,296.7,307.9,0.3158669996869351,29.6,119.0,False,False,False,False,False,False
157,M15016,M,298.4,308.1,0.31586699967791454,46.0,203.0,False,False,False,False,False,False
5560,M20419,M,302.5,312.0,0.31586699967513365,43.2,189.0,False,False,False,False,False,False
5523,L52702,L,302.6,311.9,0.3158669996752677,39.1,84.0,False,False,False,False,False,False
6482,L53661,L,300.7,309.8,0.3158669996719018,48.4,108.0,False,False,False,False,False,False
8112,M22971,M,300.4,311.8,0.3158669996810976,33.1,209.0,True,True,False,False,False,False
7243,H36656,H,299.9,310.1,0.31586699967486315,51.4,185.0,False,False,False,False,False,False
2678,L49857,L,299.8,309.5,0.31586699967791454,39.6,10.0,False,False,False,False,False,False
7165,M22024,M,300.2,310.1,0.3158669996766304,44.0,198.0,False,False,False,False,False,False
5042,L52221,L,304.0,313.2,0.3158669996637686,47.1,144.0,False,False,False,False,False,False
2256,L49435,L,299.1,308.3,0.3158669996813992,33.7,30.0,False,False,False,False,False,False
8969,L56148,L,297.1,307.8,0.3158669996753345,50.6,94.0,False,False,False,False,False,False
2117,M16976,M,300.0085898275486,309.0,0.3158669996699122,44.9,88.0,False,False,False,False,False,False
5608,M20467,M,302.9,312.2,0.3158669996887694,25.5,98.0,False,False,False,False,False,False
2212,M17071,M,299.6,309.0,0.3158669996559166,64.0,120.0,False,False,False,False,False,False
1967,L49146,L,297.9,307.6,0.31586699967906967,40.5,118.0,False,False,False,False,False,False
2534,L49713,L,298.8,308.7,0.3158669996776156,33.6,71.0,False,False,False,False,False,False
7079,L54258,L,300.7,310.5,0.3158669996678558,52.6,199.0,False,False,False,False,False,False
5334,M20193,M,303.5,312.6,0.315866999671825,51.6,62.0,False,False,False,False,False,False
9506,L56685,L,299.2,310.3,0.31586699967360654,40.1,23.0,False,False,False,False,False,False
5609,M20468,M,303.1,312.3,0.31586699968433596,31.6,101.0,False,False,False,False,False,False
7723,L54902,L,300.5,310.0115802171291,0.3158669996721308,54.7,104.0,False,False,False,False,False,False
1200,M16059,M,296.9,307.9,0.3158669996944191,20.4,68.0,False,False,False,False,False,False
3709,L50888,L,302.1,311.4,0.3158669996808938,44.6,31.0,False,False,False,False,False,False
2755,H32168,H,299.6,309.1,0.31586699968462856,32.3,194.0,False,False,False,False,False,False
2818,L49997,L,300.2,309.5,0.31586699967273146,41.1,129.0,False,False,False,False,False,False
6246,L53425,L,300.9,310.4,0.3158669996747267,41.7,180.0,False,False,False,False,False,False
7090,L54269,L,300.6,310.2,0.3158669996842937,34.1,3.0,False,False,False,False,False,False
1092,L48271,L,297.0,307.7,0.31586699967486315,46.4,8.0,False,False,False,False,False,False
1384,M16243,M,298.9,310.2,0.31586699966545034,49.0,121.0,False,False,False,False,False,False
8124,H37537,H,300.2,311.5,0.31586699967906967,36.8,27.0,False,False,False,False,False,False
4990,L52169,L,303.9,313.2,0.31586699967815074,37.4,7.0,False,False,False,False,False,False
2843,L50022,L,300.3,309.3,0.3158669996667697,53.5,192.0,False,False,False,False,False,False
7626,L54805,L,300.0085898275486,311.7,0.315866999681249,34.9,76.0,False,False,False,False,False,False
6473,H35886,H,300.4,310.0115802171291,0.3158669996819881,33.6,126.0,False,False,False,False,False,False
1577,L48756,L,300.0085898275486,308.4,0.3158669996776156,41.7,170.0,False,False,False,False,False,False
2986,L50165,L,300.7,309.8,0.3158669996831566,31.5,123.0,False,False,False,False,False,False
6954,L54133,L,300.8,311.3,0.3158669996758617,41.4,75.0,False,False,False,False,False,False
4052,L51231,L,301.8,310.8,0.3158669996700769,46.4,37.0,False,False,False,False,False,False
8380,L55559,L,298.8,309.9,0.3158669996845871,31.9,49.0,False,False,False,False,False,False
9405,L56584,L,297.7,308.2,0.3158669996949214,19.3,181.0,False,False,False,False,False,False
2984,L50163,L,300.6,309.6,0.3158669996612345,57.4,119.0,False,False,False,False,False,False
5813,L52992,L,301.4,311.1,0.31586699967791454,36.3,193.0,False,False,False,False,False,False
5995,L53174,L,300.0085898275486,310.4,0.315866999683691,39.2,221.0,False,False,False,False,False,False
695,L47874,L,297.6,309.1,0.3158669996709653,50.0,62.0,False,False,False,False,False,False
3638,M18497,M,302.2,311.4,0.31586699968446197,31.6,62.0,False,False,False,False,False,False
4018,L51197,L,302.0,310.8,0.3158669996928736,23.4,188.0,False,False,False,False,False,False
786,M15645,M,296.9,308.0,0.315866999678033,44.8,57.0,False,False,False,False,False,False
7237,M22096,M,299.8,310.0115802171291,0.31586699967573106,37.1,169.0,False,False,False,False,False,False
5184,M20043,M,303.9,310.0115802171291,0.31586699969285176,22.5,110.0,False,False,False,False,False,False
5569,L52748,L,302.5,312.1,0.3158669996801098,38.6,3.0,False,False,False,False,False,False
7472,L54651,L,300.3,311.7,0.315866999668558,53.3,113.0,False,False,False,False,False,False
3144,H32557,H,300.6,310.0,0.31586699967287946,42.4,90.0,False,False,False,False,False,False
9563,M24422,M,299.7,311.0,0.3158669996740327,50.1,168.0,False,False,False,False,False,False
3440,L50619,L,301.4,310.3,0.31586699967773574,41.4,195.0,False,False,False,False,False,False
7682,L54861,L,300.7,311.8,0.31586699967458953,43.7,108.0,False,False,False,False,False,False
518,M15377,M,297.5,309.4,0.3158669996707259,58.2,34.0,False,False,False,False,False,False
8848,L56027,L,300.0085898275486,310.0115802171291,0.31586699967458953,43.5,0.0,False,False,False,False,False,False
7640,L54819,L,300.5,311.4,0.31586699967612086,41.8,112.0,False,False,False,False,False,False
5002,M19861,M,303.6,312.7,0.3158669996973905,17.6,37.0,False,False,False,False,False,False
309,L47488,L,297.9,308.5,0.315866999662841,47.2,155.0,False,False,False,False,False,False
2261,H31674,H,299.1,308.3,0.31586699967940396,36.5,40.0,False,False,False,False,False,False
5781,L52960,L,301.7,311.2,0.31586699967918175,42.4,113.0,False,False,False,False,False,False
75,L47254,L,298.9,309.0,0.31586699968338133,32.3,202.0,False,False,False,False,False,False
5581,M20440,M,300.0085898275486,312.2,0.3158669996755996,38.8,34.0,False,False,False,False,False,False
4160,M19019,M,302.0,310.5,0.31586699968499715,32.9,94.0,False,False,False,False,False,False
4075,L51254,L,302.0,310.0115802171291,0.3158669996752677,42.7,92.0,False,False,False,False,False,False
4322,L51501,L,301.7,310.2,0.3158669996867918,28.9,59.0,False,False,False,False,False,False
3087,L50266,L,300.0,309.2,0.3158669996837784,32.1,150.0,False,False,False,False,False,False
9633,M24492,M,299.0,310.0,0.31586699966602283,57.4,146.0,False,False,False,False,False,False
6462,L53641,L,300.6,310.0,0.3158669996785001,35.9,95.0,False,False,False,False,False,False
7678,L54857,L,300.6,311.7,0.31586699967353477,52.6,208.0,False,False,False,False,False,False
797,M15656,M,296.9,307.9,0.3158669996949735,18.9,86.0,False,False,False,False,False,False
1388,L48567,L,298.9,310.1,0.3158669996909921,26.1,131.0,False,False,False,False,False,False
6250,L53429,L,300.7,310.1,0.3158669996805319,35.5,191.0,False,False,False,False,False,False
2653,L49832,L,300.0085898275486,309.5,0.3158669996895851,23.5,167.0,False,False,False,False,False,False
9801,H39214,H,298.5,309.3,0.31586699967302656,50.3,124.0,False,False,False,False,False,False
5607,L52786,L,300.0085898275486,312.2,0.3158669996882607,23.6,96.0,False,False,False,False,False,False
2652,L49831,L,299.9,309.5,0.3158669996949388,20.4,165.0,False,False,False,False,False,False
5259,M20118,M,303.5,312.9,0.31586699968203635,44.7,84.0,False,False,False,False,False,False
5558,M20417,M,302.5,312.0,0.31586699967410303,43.5,184.0,False,False,False,False,False,False
412,L47591,L,297.5,308.7,0.31586699967360654,44.3,201.0,False,False,False,False,False,False
